Dierenzoeker,,,,KENMERK,lijkt op,leefgebied,seizoen,grootte,kleur,patroon,vorm,huid,ogen,spriet,bek,aantal poten,soort poten,vleugels,achterlijf,gedrag,BEGINLETTER,naam SCI,naam NL,thumbnail,illustratie soortpagina
159,Waterschorpioen,,,staafwants;gegroefde watertor;duikerwants;gevlekte amerikaanse rivierkreeft,kriebeldier,water,winter;lente;zomer;herfst,euro;huissleutel,bruin;zwart,effen,twee delen;drie delen,glad,insectenogen,niks,steeksnuit,6,lang en dun; met haakjes;met scharen,als kever;doorzichtig; gekleurd;geen,puntig;met stekel,zwemt;steekt/bijt;schuilt,W; S,Nepa cinerea,Waterschorpioen,http://images.ncbnaturalis.nl/80x80/200000.jpg,http://images.ncbnaturalis.nl/280x190/199982.jpg
160,Achtogige bloedegel,,,brede bloedzuiger;paardenbloedzuiger;melkwitte platworm;lugubere glijer,worm;kriebeldier,water,winter;lente;zomer;herfst,euro;huissleutel,groen;bruin,gevlekt,dun;dik;lang;plat;segmenten,naakt;glad,geen ogen,niks,mond;geen bek,0,geen poten,geen,puntig,zwemt; kruipt; lijkt dood;schuilt,A;B,Erpobdella octoculata,Achtogige bloedegel,http://images.ncbnaturalis.nl/80x80/199986.jpg,http://images.ncbnaturalis.nl/280x190/199968.jpg
161,Witbaardzandbij,,,honingbij; roodpotige groefbij; grote bladsnijder; duinzijdebij,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer,pinda;euro,bruin; zwart; grijs,gevlekt,uit segmenten; twee delen; drie delen,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond; steekt/bijt,zit; vliegt; loopt; graaft,W; Z; B,Andrena barbilabris,Witbaardzandbij,,
162,Honingbij ,,,witbaardzandbij; roodpotige groefbij; grote bladsnijder; duinzijdebij; roodgatje,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer;herfst,pinda;euro,bruin; zwart; geel,gevlekt,uit segmenten; twee delen; drie delen,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,H; B,Apis mellifera,Honingbij ,,
163,Boomhommel,,,akkerhommel; gewone sachembij; rosse metselbij; vosje,bij; kriebeldier,in de grond;op een bloem;op de grond; in boom,lente;zomer;herfst,pinda;euro,zwart; oranje; bruin; wit,gestreept; effen,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,B; H,Bombus hypnorum,Boomhommel,,
164,Steenhommel,,,vosje,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer;herfst,pinda;euro,zwart; rood; oranje; geel,gestreept; effen,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,S; H,Bombus lapidarius,Steenhommel,,
165,Akkerhommel,,,boomhommel; gewone sachembij; rosse metselbij; vosje,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer;herfst,pinda;euro,oranje; zwart; wit,effen; gestreept,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; graaft; steekt/bijt,A; H,Bombus pascuorum,Akkerhommel,,
166,Tuinhommel,,,aardhommel; grote wolbij,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer;herfst,pinda;euro,zwart; geel; wit,gestreept,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; graaft; steekt/bijt,T; H,Bombus hortorum,Tuinhommel,,
167,Aardhommel,,,tuinhommel; grote wolbij,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer;herfst,pinda;euro,zwart; wit; geel,gestreept,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; graaft; steekt/bijt,A; H,Bombus terrestris,Aardhommel,,
168,Gewone maskerbij,,,grote klokjesbij; gewone geurgroefbij; parkbronsgroefbij; blauwe metselbij; graafwesp,bij; kriebeldier,in de grond;op een bloem;op de grond,zomer,pinda,zwart; wit,effen,uit segmenten; twee delen; drie delen; lang; dun,glad,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,G; B; M,Hylaeus communis,Gewone maskerbij,,
169,Roodpotige groefbij,,,witbaardzandbij; honingbij; grote bladsnijder; duinzijdebij; roodgatje,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer;herfst,pinda,zwart; grijs; bruin; geel,gestreept,uit segmenten; twee delen; drie delen; lang; dun,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; graaft; steekt/bijt,R; G; B,Halictus rubicundus,Roodpotige groefbij,,
170,Vosje,,,akkerhommel; gewone sachembij; rosse metselbij; boomhommel; steenhommel,bij; kriebeldier,in de grond;op een bloem;op de grond,lente,pinda;euro,rood; oranje; zwart,effen,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,V,Andrena fulva,Vosje,,
171,Roodgatje,,,witbaardzandbij; honingbij; grote bladsnijder; duinzijdebij; roodpotige groefbij,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer,pinda;euro,zwart; rood; bruin,gestreept,uit segmenten; twee delen; drie delen,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,R,Andrena haemorrhoa,Roodgatje,,
172,Signaalwespbij,,,kleine wespenboktor; graafwesp; blaaskopvlieg; Duitse wesp; gewone wesp; Saksische wesp,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer,pinda;euro,zwart; geel; rood; oranje,gestreept,uit segmenten; twee delen; drie delen,glad,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,S; W; B,Nomada signata,Signaalwespbij,,
173,Rosse metselbij,,,akkerhommel; gewone sachembij; vosje; boomhommel,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer,pinda;euro,rood; zwart,effen,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,R; M,Osmia rufa,Rosse metselbij,,
174,Grote bladsnijder,,,witbaardzandbij; honingbij; roodgatje; duinzijdebij; roodpotige groefbij,bij; kriebeldier,in de grond;op een bloem;op de grond,zomer,euro,bruin; oranje; zwart; wit,gevlekt,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,G; B,Megachile willughbiella  ,Grote bladsnijder,,
175,Blauwe metselbij,,,grote klokjesbij; gewone geurgroefbij; parkbronsgroefbij; gewone maskerbij,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer,pinda;euro,blauw; zwart; bruin; wit,gevlekt,uit segmenten; twee delen; drie delen,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,B; M,Osmia caerulescens,Blauwe metselbij,,
176,Grote klokjesbij,,,blauwe metselbij; gewone geurgroefbij; parkbronsgroefbij; gewone maskerbij,bij; kriebeldier,in de grond;op een bloem;op de grond,zomer,pinda,zwart; bruin,gestreept; effen,uit segmenten; twee delen; drie delen,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,G; K,Chelostoma rapunculi,Grote klokjesbij,,
177,Gewone geurgroefbij,,,blauwe metselbij; grote klokjesbij; parkbronsgroefbij; gewone maskerbij,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer;herfst,pinda,zwart; bruin,gevlekt; gestreept,uit segmenten; twee delen; drie delen,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; graaft; steekt/bijt,G,Lasioglossum calceatum,Gewone geurgroefbij,,
178,Park-bronsgroefbij,,,blauwe metselbij; grote klokjesbij; gewone geurgroefbij; gewone maskerbij,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer;herfst,pinda,groen; bruin,gestreept,uit segmenten; twee delen; drie delen,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; graaft; steekt/bijt,P; G,Halictus tumulorum,Park-bronsgroefbij,,
179,Duinzijdebij,,,witbaardzandbij; roodpotige groefbij; grote bladsnijder; honingbij; roodgatje,bij; kriebeldier,in de grond;op een bloem;op de grond,zomer,pinda,bruin; zwart; oranje,gestreept; gevlekt,uit segmenten; twee delen; drie delen,glad; met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; graaft; steekt/bijt,D; Z,Colletes fodiens,Duinzijdebij,,
180,Dikkopbloedbij,,,graafwesp,bij; kriebeldier,in de grond;op een bloem;op de grond,lente;zomer,pinda,rood; zwart,gestreept,uit segmenten; twee delen; drie delen,glad,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,D; B,Sphecodes monilicornis,Dikkopbloedbij,,
181,Grote wolbij,,,aardhommel; tuinhommel,bij; kriebeldier,in de grond;op een bloem;op de grond,zomer,euro,zwart; geel,gevlekt,uit segmenten; twee delen; drie delen,glad,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,G; W,Anthidium manicatum,Grote wolbij,,
182,Gewone sachembij,,,akkerhommel; boomhommel; rosse metselbij; vosje,bij; kriebeldier,in de grond;op een bloem;op de grond,lente,euro,bruin; geel,effen,uit segmenten; twee delen; drie delen,met haren,insectenogen,lange sprieten,tong;twee kaken,6,lang en dun;behaard;met haakjes,doorzichtige vleugels,afgerond,zit; vliegt; loopt; steekt/bijt,G; S,Anthophora plumipes,Gewone sachembij,,
183,Zevenstippelig lieveheersbeestje ,,,Veelkleurig Aziatisch lieveheersbeestje;Tweestippelig lieveheersbeestje;rozenkevertje;leliehaantje,kever; kriebeldier,binnen;op plant;in een boom;op een muur;op de grond;in struik;schuilplek;in de lucht,winter;lente;zomer;herfst,mier,zwart;rood; oranje; wit,gevlekt; gestipt,rond;bolletje; twee delen;drie delen,glad;glanzend,insectenogen,korte sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,als kever;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt; zit stil,Z; L,Coccinella septempunctata,Zevenstippelig lieveheersbeestje ,http://images.ncbnaturalis.nl/80x80/201032.jpg,http://images.ncbnaturalis.nl/280x190/201033.jpg
184,Tweestippelig lieveheersbeestje ,,,Veelkleurig Aziatisch lieveheersbeestje;zevenstippelige lieveheersbeestje;rozenkevertje;leliehaantje,kever; kriebeldier,binnen;op plant;in een boom;op een muur;op de grond;in struik;schuilplek;in de lucht,winter;lente;zomer;herfst,mier,zwart;rood; oranje; wit,gevlekt; gestipt,rond;bolletje; twee delen;drie delen,glad;glanzend,insectenogen,korte sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,als kever;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt; zit stil,T; L,Adalia bipunctata,Tweestippelig lieveheersbeestje ,http://images.ncbnaturalis.nl/80x80/201028.jpg,http://images.ncbnaturalis.nl/280x190/201029.jpg
185,Veelkleurig Aziatisch lieveheersbeestje ,,,zevenstippelig lieveheersbeestje;Tweestippelige lieveheersbeestje;citroenlieveheersbeestje;rozenkevertje;leliehaantje,kever; kriebeldier,binnen;op plant;in een boom;op een muur;op de grond;in struik;schuilplek;in de lucht,winter;lente;zomer;herfst,mier; pinda,rood;oranje;wit;zwart,gevlekt; gestipt,rond;bolletje; twee delen;drie delen,glad;glanzend,insectenogen,korte sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,als kever;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt; zit stil,V; A; L,Harmonia axyridis,Veelkleurig Aziatisch lieveheersbeestje ,http://images.ncbnaturalis.nl/80x80/201030.jpg,http://images.ncbnaturalis.nl/280x190/201031.jpg
186,Citroenlieveheersbeestje,,,Coloradokever;Veelkleurig Aziatisch lieveheersbeestje;koolwants; zevenstippelig lieveheersbeestje; tweestippelig lieveheersbeestje,kever; kriebeldier,op plant;op de grond;in struik;schuilplek;in de lucht,winter;lente;zomer;herfst,zandkorrel; mier,geel;zwart,gevlekt; gestipt,rond;bolletje; twee delen;drie delen,glad,insectenogen,korte sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,als kever;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt; zit stil,C; L,Psyllobora vigintiduopunctata,Citroenlieveheersbeestje,http://images.ncbnaturalis.nl/80x80/201026.jpg,http://images.ncbnaturalis.nl/280x190/201027.jpg
187,Barnsteenslak,,,bronblaashoren;ovale poelslak;grote diepslak;gewone poelslak,slak of schelp,op plant;bij het water,winter;lente;zomer;herfst,pinda;euro,beige;bruin;geel;oranje;doorzichtig,effen;gestreept,met huisje,glad;glibberig,ogen op steeltjes,korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; zit stil,B; S,Succinea putris,Barnsteenslak,http://images.ncbnaturalis.nl/80x80/203268.jpg,http://images.ncbnaturalis.nl/280x190/203269.jpg
188,Grote clausilia,,,schorshoorn;kokerjufferlarve,slak of schelp,in de grond;tussen bladeren;op plant;op de grond;schuilplek,winter;lente;zomer;herfst,pinda;euro,grijs;bruin,effen;gestreept,lang;met huisje,glad;glibberig,ogen op steeltjes;geen,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; zit stil,G; C,Balea biplicata,Grote clausilia,http://images.ncbnaturalis.nl/80x80/203290.jpg,http://images.ncbnaturalis.nl/280x190/203291.jpg
189,Gewone tuinslak,,,witgerande tuinslak;segrijnslak;wijngaardslak; heesterslak; ,slak of schelp,op plant;in de grond;tussen bladeren;op een muur;op de grond;schuilplek,winter;lente;zomer;herfst,euro;huissleutel,geel;zwart;bruin;roze,effen;gestreept,rond;met huisje;bolletje,glad;glibberig,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; zit stil,G; T; S,Cepaea nemoralis,Gewone tuinslak,http://images.ncbnaturalis.nl/80x80/203276.jpg,http://images.ncbnaturalis.nl/280x190/203277.jpg
190,Witgerande tuinslak,,,gewone tuinslak;wijngaardslak;segrijnslak;grote glansslak;heesterslak,slak of schelp,op plant;in de grond;tussen bladeren;op een muur;op de grond;schuilplek,winter;lente;zomer;herfst,euro;huissleutel,roze;geel;zwart;bruin,gestreept;effen,rond;met huisje;bolletje,glad;glibberig,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; zit stil,W; T; S,Cepaea hortensis,Witgerande tuinslak,http://images.ncbnaturalis.nl/80x80/203330.jpg,http://images.ncbnaturalis.nl/280x190/203331.jpg
191,Segrijnslak,,,witgerande tuinslak;gewone tuinslak;wijngaardslak;heesterslak,slak of schelp,op plant;in de grond;tussen bladeren;op een muur;op de grond;schuilplek,winter;lente;zomer;herfst,euro;huissleutel,grijs;bruin;geel,gevlekt;gestreept,rond;met huisje;bolletje,glad;glibberig,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; zit stil,S,Cornu aspersum,Segrijnslak,http://images.ncbnaturalis.nl/80x80/203316.jpg,http://images.ncbnaturalis.nl/280x190/203317.jpg
192,Heesterslak,,,witgerande tuinslak;gewone tuinslak; segrijnslak; wijngaardslak,slak of schelp,op plant;in de grond;tussen bladeren;op een muur;op de grond;schuilplek,winter;lente;zomer;herfst,euro;huissleutel,bruin;geel;zwart; grijs,gevlekt;gestreept,rond;met huisje;bolletje,glad;glibberig,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; zit stil,S,Arianta arbustorum,Heesterslak,http://images.ncbnaturalis.nl/80x80/206366.jpg,
193,Wijngaardslak,,,witgerande tuinslak;gewone tuinslak;segrijnslak; heesterslak,slak of schelp,in de grond;tussen bladeren;op plant;op de grond;schuilplek,winter;lente;zomer;herfst,euro;huissleutel,bruin;wit;grijs,effen;gevlekt; gestreept,rond;met huisje; bolletje,glad;glibberig,ogen op steeltjes,lange sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; beweegt niet,W; S,Helix pomatia,Wijngaardslak,,
194,Gewone duikerwants,,,gewone sigaar;platte waterwants;gewoon bootsmannetje;haagse hopjeskever;watertreder,kriebeldier;kever,bij of in het water,winter;lente;zomer;herfst,pinda,bruin; geel; goud;zwart,gevlekt; gestipt; gestreept,lang; twee delen; plat,glad;glanzend,insectenogen,niks,steeksnuit,6,met haakjes;lang en dun; behaard,,afgerond,zwemt; geluid,G; D; W,Corixa punctata,Gewone duikerwants,http://images.ncbnaturalis.nl/80x80/203278.jpg,http://images.ncbnaturalis.nl/280x190/203279.jpg
195,Gewoon bootsmannetje,,,dwergbootsmannetje;watertreder;gewone duikerwants;pieptor,kriebeldier;kever,bij of in het water,winter;lente;zomer;herfst,pinda;euro,zwart;geel;bruin,effen;gestipt,twee delen;drie delen,glad,insectenogen,niks,steeksnuit,6,met haakjes;lang en dun; behaard,doorzichtige vleugels;gekleurd;gevlekt,puntig,zwemt; zit stil,G; B,Notonecta glauca,Gewoon bootsmannetje,http://images.ncbnaturalis.nl/80x80/203288.jpg,http://images.ncbnaturalis.nl/280x190/203289.jpg
196,Schaatsenrijder,,,vijverloper;staafwants;gewone snelzwemmer;,kriebeldier,bij of in het water,lente;zomer;herfst,pinda;euro,zwart; grijs; bruin,effen; gestreept,lang; dun; twee delen; drie delen,glad,insectenogen,lange sprieten,steeksnuit,6,lang en dun; met haakjes,niet doorzichtige vleugels; doorzichtige vleugels,afgerond; puntig,loopt,S,Gerris lacustris,Schaatsenrijder,http://images.ncbnaturalis.nl/80x80/203312.jpg,http://images.ncbnaturalis.nl/280x190/203312.jpg
197,Vijverloper,,,schaatsenrijder;schrijvertje;brandnetelwants,kriebeldier,bij of in het water,lente;zomer;herfst,pinda,zwart; bruin,effen,dun; lang; twee delen; drie delen,glad,insectenogen,lange sprieten,steeksnuit,6,lang en dun; met haakjes,geen vleugels,afgerond; puntig;stekel,loopt; kruipt,V,Hydrometra stagnorum,Vijverloper,http://images.ncbnaturalis.nl/80x80/203326.jpg,http://images.ncbnaturalis.nl/280x190/203327.jpg
198,Dwergbootsmannetje,,,gewoon bootsmannetje;pieptor;watertreder;gewone duikerwants,kriebeldier; kever,bij of in het water,lente;zomer;herfst,zandkorrel;mier,geel;bruin; rood; beige,gestipt;gestreept,twee delen;drie delen;bolletje,glad,insectenogen,niks,steeksnuit,6,met haakjes;lang en dun; behaard,niet doorzichtige vleugels; doorzichtige vleugels,afgerond; puntig,zwemt,D; B,Plea minutissima,Dwergbootsmannetje,http://images.ncbnaturalis.nl/80x80/203274.jpg,http://images.ncbnaturalis.nl/280x190/203275.jpg
199,Gewone sigaar,,,gewoon bootsmannetje;dwergbootsmannetje;pieptor;watertreder,kriebeldier; kever,bij of in het water,winter;lente;zomer;herfst,pinda,bruin; geel; wit; zwart,gestreept; gevlekt,lang; driehoekig; twee delen; drie delen; plat,glad,insectenogen,niks,steeksnuit,6,met haakjes;lang en dun; behaard,niet doorzichtige vleugels; doorzichtige vleugels; gevlekt,afgerond,zwemt; geluid,G; S,Sigara striata,Gewone sigaar,http://images.ncbnaturalis.nl/80x80/203280.jpg,http://images.ncbnaturalis.nl/280x190/203281.jpg
200,Platte waterwants,,,duikerwants;gewone duikerwants;gewoon bootsmannetje;haagse hopjeskever;watertreder,kriebeldier; kever,bij of in het water,winter;lente;zomer;herfst,pinda,zwart; grijs; bruin; geel; beige,effen; gevlekt,driehoekig; twee delen; drie delen; plat,glad,insectenogen,niks,steeksnuit,6,lang en dun; met haakjes; behaard; grijppoten,niet doorzichtige vleugels; doorzichtige vleugels,afgerond,zwemt; steekt/bijt,P; W,Ilyocoris cimicoides,Platte waterwants,http://images.ncbnaturalis.nl/80x80/203306.jpg,http://images.ncbnaturalis.nl/280x190/203307.jpg
201,Staafwants,,,vijverloper;waterschorpioen,kriebeldier,bij of in het water;op de grond,winter;lente;zomer;herfst,huissleutel;muis,bruin,effen,twee delen;drie delen;lang;dun,glad,insectenogen,niks,steeksnuit,6,lang en dun; met haakjes; grijppoten,doorzichtige vleugels,puntig;stekel,zwemt; zit stil; steekt/bijt,S; W,Ranatra linearis,Staafwants,http://images.ncbnaturalis.nl/80x80/203320.jpg,http://images.ncbnaturalis.nl/280x190/203321.jpg
202,Bronblaashoren,,,gewone poelslak;barnsteenslak;grote diepslak,slak of schelp,bij of in het water,winter;lente;zomer;herfst,pinda; euro,bruin;beige; geel,effen; gevlekt,met huisje,glad;glibberig,geen ogen; puntjes,lange sprieten;korte sprieten;draden,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; zit stil,B; S,Physa fontinalis,Bronblaashoren,http://images.ncbnaturalis.nl/80x80/203270.jpg,http://images.ncbnaturalis.nl/280x190/203271.jpg
203,Gewone poelslak,,,bronblaashoren;ovale poelslak,slak of schelp,bij of in het water,winter;lente;zomer;herfst,euro;huissleutel,bruin;beige;grijs,effen; gevlekt,met huisje,glad;glibberig,geen ogen; puntjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; zit stil,G; P; S,Lymnaea stagnalis,Gewone poelslak,http://images.ncbnaturalis.nl/80x80/203284.jpg,http://images.ncbnaturalis.nl/280x190/203285.jpg
204,Grote diepslak,,,gewone poelslak;spitse moerasslak;bronblaashoorn;grote glansslak,slak of schelp,bij of in het water,winter;lente;zomer;herfst,pinda;euro,bruin;beige;geel;grijs,effen;gevlekt,met huisje,glad;glibberig,geen ogen;puntjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt;zit stil,G; D; S,Bithynia tentaculata,Grote diepslak,http://images.ncbnaturalis.nl/80x80/203292.jpg,http://images.ncbnaturalis.nl/280x190/203293.jpg
205,Ovale poelslak,,,gewone poelslak;bronblaashoren;spitse moerasslak,slak of schelp,bij of in het water,winter;lente;zomer;herfst,pinda,bruin;geel;beige;doorzichtig;wit,effen;gevlekt,met huisje,glad;glibberig,geen ogen;puntjes,korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt;zit stil,O; P; S,Radix ovata,Ovale poelslak,http://images.ncbnaturalis.nl/80x80/203302.jpg,http://images.ncbnaturalis.nl/280x190/203303.jpg
206,Posthorenslak,,,draaikolkschijfhoorn;gewone schijfhoorn,slak of schelp,bij of in het water,winter;lente;zomer;herfst,pinda;euro,bruin;beige,effen;gestreept,met huisje,glad;glibberig,geen ogen;geen pupil,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt;zit stil,P; S,Planorbarius corneus,Posthorenslak,http://images.ncbnaturalis.nl/80x80/203310.jpg,http://images.ncbnaturalis.nl/280x190/203311.jpg
207,Spitse moerasslak,,,grote glansslak;grote diepslak,slak of schelp,bij of in het water,winter;lente;zomer;herfst,euro;huissleutel,bruin;geel;paars,gestreept;gevlekt,met huisje,glad;glibberig,geen ogen;puntjes,korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt;zit stil,S; M,Viviparus contectus,Spitse moerasslak,http://images.ncbnaturalis.nl/80x80/203318.jpg,http://images.ncbnaturalis.nl/280x190/203319.jpg
208,Jenkins' brakwaterhorentje,,,grote diepslak,slak of schelp,bij of in het water,winter;lente;zomer;herfst,mier,bruin;beige; geel,effen;gevlekt,met huisje,glad;glibberig,geen ogen;geen pupil,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt;zit stil,J;B,Potamopyrgus antipodarum,Jenkins' brakwaterhorentje,http://images.ncbnaturalis.nl/80x80/203296.jpg,http://images.ncbnaturalis.nl/280x190/203297.jpg
209,Gewone schijfhoren,,,posthoornslak;draaikolkschijfhoorn;boerenknoopje,slak of schelp,bij of in het water,winter;lente;zomer;herfst,pinda;euro,bruin,effen;gestreept,met huisje;rond;plat,glad;glibberig,geen ogen;geen pupil,lange sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond,kruipt;zit stil,G; S,Planorbis planorbis,Gewone schijfhoren,http://images.ncbnaturalis.nl/80x80/203286.jpg,http://images.ncbnaturalis.nl/280x190/203287.jpg
210,Gewone driehoeksmossel,,,vijvermossel;hoornschaal;mosselkreeftje,slak of schelp,bij of in het water,winter;lente;zomer;herfst,euro;huissleutel,bruin;geel,gestreept;gevlekt,met schelp;driehoekig;twee delen,glad;glibberig,geen,niks,geen zichtbare bek,0,geen,geen,afgerond;puntig,kruipt;zit stil,D; M,Dreissena polymorpha,Gewone driehoeksmossel,http://images.ncbnaturalis.nl/80x80/203282.jpg,http://images.ncbnaturalis.nl/280x190/203283.jpg
211,Schildersmossel,,,vijvermossel;hoornschaal;mosselkreeftje; erwtenmossel,slak of schelp,bij of in het water,winter;lente;zomer;herfst,pinda;euro;huissleutel;muis,bruin;zwart;geel,effen;gestreept,lang;twee delen;met schelp,glad;glibberig,geen,niks,geen zichtbare bek,0,geen,geen,afgerond;puntig,kruipt;zit stil,S;M,Unio pictorum,Schildersmossel,http://images.ncbnaturalis.nl/80x80/203314.jpg,http://images.ncbnaturalis.nl/280x190/203315.jpg
212,Vijvermossel,,,driehoeksmossel;schildersmossel; hoornschaal;erwtenmossel;mosselkreeftje,slak of schelp,bij of in het water,winter;lente;zomer;herfst,pinda;euro;huissleutel;muis,bruin;zwart;geel,effen;gestreept,rond;twee delen;met schelp,glad;glibberig,geen,niks,geen zichtbare bek,0,geen,geen,afgerond,kruipt;zit stil,V; M,Anodonta anatina,Vijvermossel,http://images.ncbnaturalis.nl/80x80/203328.jpg,http://images.ncbnaturalis.nl/280x190/203329.jpg
213,Toegeknepen korfmossel,,,,slak of schelp,bij of in het water,winter;lente;zomer;herfst,euro;huissleutel,geel;bruin,effen; gestreept,met schelp;driehoekig;twee delen,glad;glibberig,geen,niks,geen zichtbare bek,0,geen,geen,afgerond;puntig,kruipt;zit stil,T;K;M,Corbicula fluminalis,Toegeknepen korfmossel,http://images.ncbnaturalis.nl/80x80/203324.jpg,http://images.ncbnaturalis.nl/280x190/203325.jpg
